Accident_Index,Accident_Severity,Day_of_Week,Time,Road_Type,Speed_limit,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Number_of_Vehicles,Number_of_Casualties,Urban_or_Rural_Area,Year,Month,Latitude,Longitude
ACC033554,3,7,16:29,One way street,40,Fine no high winds,Flood over 3cm deep,Darkness - lights unlit,2,1,1,2012,10,52.69411,1.777832
ACC009428,3,6,09:37,Single carriageway,30,Fine no high winds,Dry,,2,1,1,2011,6,50.268219,-4.007238
ACC000200,3,3,19:01,Roundabout,60,Fine no high winds,Dry,Darkness - lights lit,1,1,1,2006,12,53.650455,-2.052773
ACC012448,3,4,15:27,Single carriageway,50,Fine no high winds,,Daylight,4,1,1,2012,5,53.343668,1.0597
ACC039490,3,3,13:36,Single carriageway,30,Raining no high winds,Dry,Darkness - no lighting,2,1,1,2008,7,51.723847,-1.951525
ACC042725,3,2,05:19,One way street,30,Fine no high winds,Wet or damp,Daylight,2,3,1,2015,12,50.082443,-0.709655
ACC010823,3,7,20:40,Single carriageway,30,Fine no high winds,Dry,Darkness - lights unlit,1,1,1,2012,2,54.626165,-0.979959
ACC049499,3,2,17:32,One way street,30,Fine no high winds,Dry,Daylight,2,2,2,2012,12,55.918683,-4.009148
ACC004145,3,6,15:56,Dual carriageway,70,Fine no high winds,Dry,Daylight,2,4,2,2013,1,51.605079,0.808682
ACC036959,3,1,17:22,Single carriageway,70,Fine no high winds,Dry,Daylight,1,1,1,2011,11,51.363579,-2.509185
ACC043107,3,1,06:50,Slip road,30,Raining no high winds,Wet or damp,Daylight,2,1,1,2013,11,51.344784,-2.936529
ACC038696,3,2,06:12,Dual carriageway,70,Fine no high winds,Dry,Daylight,5,2,2,2012,2,52.399857,-2.479226
ACC006189,2,5,17:16,Single carriageway,30,Fine no high winds,Dry,Daylight,3,1,1,2015,5,55.478765,0.550264
ACC001415,3,4,16:01,Single carriageway,70,Fine no high winds,Wet or damp,Daylight,2,1,1,2014,9,52.994788,0.333792
ACC018472,3,6,09:21,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,1,1,2015,1,54.234546,-0.800543
ACC029283,3,5,22:40,Single carriageway,50,Fine no high winds,Dry,Darkness - lighting unknown,3,2,2,2006,8,50.926421,-1.131913
ACC015178,3,1,05:42,One way street,30,Raining no high winds,Dry,Daylight,1,2,1,2014,2,50.808732,1.968765
ACC034305,3,4,11:04,Single carriageway,30,Raining no high winds,Wet or damp,Daylight,3,2,1,2005,1,52.53024,-1.369053
ACC012610,3,2,11:51,Single carriageway,70,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,2,2008,11,53.526811,-3.521154
ACC012145,3,3,18:37,Single carriageway,70,,Dry,Darkness - lights unlit,3,2,2,2008,3,53.9144,-4.531837
ACC006114,3,2,21:51,Single carriageway,40,Snowing no high winds,Snow,Daylight,2,4,2,2005,5,54.73998,-2.577607
ACC015909,3,1,18:42,Single carriageway,30,Fine no high winds,Wet or damp,Darkness - lights lit,1,1,1,2010,6,51.410701,0.851279
ACC000822,1,2,18:26,Roundabout,30,Fine no high winds,Dry,Daylight,2,1,2,2009,10,51.247387,0.912408
ACC015119,2,5,17:34,Single carriageway,30,Fine no high winds,Snow,Daylight,3,1,1,2007,1,50.724752,1.915559
ACC013467,3,5,17:22,Single carriageway,60,Fine no high winds,Dry,Darkness - lights lit,1,1,1,2012,3,50.402348,-1.600913
ACC026498,2,5,09:00,Roundabout,70,Fine no high winds,Dry,Daylight,1,2,1,2012,9,50.890414,-2.955954
ACC042112,3,3,19:52,Single carriageway,30,Fine no high winds,Dry,Daylight,2,2,1,2008,8,54.683348,-2.507989
ACC030189,3,5,20:50,Dual carriageway,70,Fine no high winds,Dry,Daylight,2,1,1,2011,11,55.050708,-4.002171
ACC037238,3,6,17:44,Single carriageway,30,Raining no high winds,Dry,Darkness - no lighting,2,1,1,2008,2,52.809269,-2.164309
ACC033110,3,1,02:18,Unknown,30,Raining no high winds,Dry,Daylight,5,1,1,2014,5,54.658145,-2.510497
ACC036481,3,7,03:10,Single carriageway,40,Fine no high winds,Flood over 3cm deep,Daylight,1,1,1,2006,3,53.027645,-3.74358
ACC024149,2,5,11:47,Single carriageway,40,Fine no high winds,Wet or damp,Daylight,4,3,2,2015,8,52.62362,-4.286816
ACC005504,3,6,07:55,Dual carriageway,30,Fine no high winds,Dry,Daylight,2,2,1,2010,10,52.010176,-2.412713
ACC003919,3,4,15:07,Single carriageway,50,Fine no high winds,Dry,Darkness - lights lit,1,1,2,2011,8,51.735158,1.419293
ACC038479,3,5,08:20,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,3,4,1,2013,10,52.292597,1.332914
ACC021124,3,1,11:00,Unknown,30,Fine + high winds,Dry,Darkness - lights lit,2,1,1,2012,10,50.097178,-0.384975
ACC049718,2,2,07:40,Slip road,30,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,1,2005,11,54.832858,-4.630929
ACC042295,3,4,13:28,Single carriageway,30,Other,Dry,Darkness - no lighting,2,1,1,2006,6,55.055854,-2.78537
ACC047610,3,2,12:51,Roundabout,30,Other,Dry,Darkness - lights unlit,1,1,2,2014,4,50.194152,0.538453
ACC011077,3,7,08:46,Single carriageway,30,Fine + high winds,Dry,Daylight,5,1,2,2007,4,53.133259,-3.919367
ACC041515,2,6,00:26,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,1,1,2013,5,53.638905,-4.774177
ACC022063,3,2,20:26,Dual carriageway,30,Raining no high winds,Dry,Darkness - lights unlit,1,1,1,2008,4,54.144332,-0.014965
ACC009414,2,2,13:40,Dual carriageway,30,Fine no high winds,Wet or damp,Darkness - lighting unknown,1,3,2,2015,6,53.847606,-4.664652
ACC038341,2,6,21:05,Unknown,20,Raining no high winds,Wet or damp,Darkness - lights unlit,2,2,2,2015,6,51.483551,-3.614147
ACC030264,3,3,14:18,Single carriageway,30,Fog or mist,Wet or damp,Daylight,1,1,2,2008,10,50.322032,-3.731679
ACC041253,3,4,00:42,Dual carriageway,40,Fine no high winds,Dry,Daylight,1,1,2,2012,4,54.498148,1.109125
ACC014645,3,3,12:33,Single carriageway,50,Fine no high winds,Snow,Darkness - no lighting,3,1,1,2008,11,54.836648,-3.68546
ACC026336,3,4,12:54,Single carriageway,60,Fine no high winds,Dry,Daylight,1,1,1,2011,7,54.525124,-4.57512
ACC028103,3,4,17:08,Single carriageway,40,Raining no high winds,Dry,Daylight,1,1,1,2011,2,53.710964,-1.492994
ACC017524,3,2,16:53,Roundabout,70,Other,Dry,Darkness - lights lit,1,1,1,2015,1,53.164909,1.01169
ACC024713,3,6,00:00,Single carriageway,60,Raining no high winds,Dry,Daylight,4,1,1,2005,4,55.74711,1.088918
ACC040486,3,7,06:01,Dual carriageway,60,Fine no high winds,Mud,Daylight,3,1,1,2005,8,54.782347,-1.06188
ACC003851,3,3,13:24,Single carriageway,20,Fine no high winds,Dry,Daylight,2,1,1,2007,11,55.744395,0.625645
ACC040041,3,2,06:18,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,1,1,2005,8,51.200845,-2.206989
ACC015268,3,7,15:11,Roundabout,50,Fine no high winds,Wet or damp,Daylight,4,1,2,2006,3,54.596582,-4.444952
ACC049147,3,4,12:01,Single carriageway,70,Fine no high winds,Dry,Daylight,3,1,1,2007,4,50.596069,-4.66119
ACC030002,3,2,05:52,Roundabout,30,Raining no high winds,Wet or damp,Daylight,2,1,1,2009,9,52.809857,-3.62192
ACC045927,2,4,14:55,Single carriageway,30,Raining + high winds,Snow,Daylight,2,2,2,2009,9,54.299316,-1.981138
ACC043825,3,5,17:18,One way street,30,Fine no high winds,Dry,Daylight,1,2,1,2013,8,51.991543,-0.062295
ACC017241,2,7,15:42,Single carriageway,70,Fine no high winds,Wet or damp,Daylight,2,1,2,2007,10,53.718357,-0.981206
ACC004893,3,4,09:40,Dual carriageway,40,Fine no high winds,Dry,Daylight,1,3,1,2010,12,54.646727,-3.942188
