time_key,Hour,Day_of_Week,day_name,is_weekend,time_of_day
1,16,7,Saturday,1,Afternoon
2,9,6,Friday,0,Morning
3,19,3,Tuesday,0,Evening
4,15,4,Wednesday,0,Afternoon
5,13,3,Tuesday,0,Afternoon
6,5,2,Monday,0,Night
7,20,7,Saturday,1,Evening
8,17,2,Monday,0,Evening
9,15,6,Friday,0,Afternoon
10,17,1,Sunday,1,Evening
11,6,1,Sunday,1,Morning
12,6,2,Monday,0,Morning
13,17,5,Thursday,0,Evening
14,16,4,Wednesday,0,Afternoon
15,22,5,Thursday,0,Night
16,5,1,Sunday,1,Night
17,11,4,Wednesday,0,Morning
18,11,2,Monday,0,Morning
19,18,3,Tuesday,0,Evening
20,21,2,Monday,0,Night
21,18,1,Sunday,1,Evening
22,18,2,Monday,0,Evening
23,9,5,Thursday,0,Morning
24,20,5,Thursday,0,Evening
25,17,6,Friday,0,Evening
26,2,1,Sunday,1,Night
27,3,7,Saturday,1,Night
28,11,5,Thursday,0,Morning
29,7,6,Friday,0,Morning
30,8,5,Thursday,0,Morning
31,11,1,Sunday,1,Morning
32,7,2,Monday,0,Morning
33,13,4,Wednesday,0,Afternoon
34,12,2,Monday,0,Afternoon
35,8,7,Saturday,1,Morning
36,0,6,Friday,0,Night
37,20,2,Monday,0,Evening
38,13,2,Monday,0,Afternoon
39,21,6,Friday,0,Night
40,14,3,Tuesday,0,Afternoon
41,0,4,Wednesday,0,Night
42,12,3,Tuesday,0,Afternoon
43,12,4,Wednesday,0,Afternoon
44,17,4,Wednesday,0,Evening
45,16,2,Monday,0,Afternoon
46,6,7,Saturday,1,Morning
47,15,7,Saturday,1,Afternoon
48,14,4,Wednesday,0,Afternoon
49,9,4,Wednesday,0,Morning
50,16,6,Friday,0,Afternoon
51,14,5,Thursday,0,Afternoon
52,12,1,Sunday,1,Afternoon
53,7,5,Thursday,0,Morning
54,11,6,Friday,0,Morning
55,22,6,Friday,0,Night
56,8,6,Friday,0,Morning
