accident_key,time_key,location_key,weather_key,road_key,severity,num_vehicles,num_casualties,speed_limit
1,1,1,1,1,3,2,1,40
2,2,1,1,2,3,2,1,30
3,3,1,1,3,3,1,1,60
4,4,1,1,4,3,4,1,50
5,5,1,2,2,3,2,1,30
6,6,1,1,5,3,2,3,30
7,7,1,1,2,3,1,1,30
8,8,2,1,6,3,2,2,30
9,9,2,1,7,3,2,4,70
10,10,1,1,2,3,1,1,70
11,11,1,2,8,3,2,1,30
12,12,2,1,7,3,5,2,70
13,13,1,1,2,2,3,1,30
14,14,1,1,9,3,2,1,70
15,2,1,1,9,3,1,1,30
16,15,2,1,2,3,3,2,50
17,16,1,2,6,3,1,2,30
18,17,1,2,9,3,3,2,30
19,18,2,1,9,3,2,1,70
20,19,2,3,2,3,3,2,70
21,20,2,4,10,3,2,4,40
22,21,1,1,9,3,1,1,30
23,22,2,1,3,1,2,1,30
24,13,1,1,10,2,3,1,30
25,13,1,1,2,3,1,1,60
26,23,1,1,3,2,1,2,70
27,3,1,1,2,3,2,2,30
28,24,1,1,7,3,2,1,70
29,25,1,2,2,3,2,1,30
30,26,1,2,11,3,5,1,30
31,27,1,1,12,3,1,1,40
32,28,2,1,9,2,4,3,40
33,29,1,1,7,3,2,2,30
34,4,2,1,2,3,1,1,50
35,30,1,1,9,3,3,4,30
36,31,1,5,11,3,2,1,30
37,32,1,1,8,2,2,1,30
38,33,1,6,2,3,2,1,30
39,34,2,6,3,3,1,1,30
40,35,2,5,2,3,5,1,30
41,36,1,1,9,2,1,1,30
42,37,1,2,7,3,1,1,30
43,38,2,1,13,2,1,3,30
44,39,2,2,14,2,2,2,20
45,40,2,7,9,3,1,1,30
46,41,2,1,7,3,1,1,40
47,42,1,1,10,3,3,1,50
48,43,1,1,2,3,1,1,60
49,44,1,2,2,3,1,1,40
50,45,1,6,3,3,1,1,70
51,36,1,2,2,3,4,1,60
52,46,1,1,15,3,3,1,60
53,5,1,1,2,3,2,1,20
54,12,1,1,9,3,1,1,30
55,47,2,1,16,3,4,1,50
56,43,1,1,2,3,3,1,70
57,6,1,2,16,3,2,1,30
58,48,2,8,10,2,2,2,30
59,13,1,1,6,3,1,2,30
60,47,2,1,9,2,2,1,70
61,49,1,1,7,3,1,3,40
62,2,1,1,2,3,3,1,30
63,50,1,1,2,3,2,2,30
64,51,1,1,2,3,1,2,30
65,52,1,1,16,3,2,1,30
66,23,1,1,2,3,1,1,30
67,22,1,1,13,2,3,1,30
68,53,1,6,9,2,3,2,30
69,54,1,1,7,3,2,2,40
70,55,2,1,9,3,1,1,30
71,3,1,1,2,3,3,2,60
72,56,2,1,9,3,2,1,30
73,57,1,1,3,2,2,1,50
74,58,2,1,7,3,1,1,30
75,10,1,1,14,3,2,1,30
76,59,1,2,6,3,1,4,60
77,6,1,6,2,3,2,1,50
78,60,2,1,9,3,2,3,40
79,61,2,8,2,3,1,1,30
80,62,2,1,7,3,2,1,30
81,63,2,1,2,3,2,2,60
82,64,2,1,17,3,2,1,30
83,65,1,8,3,2,1,2,50
84,44,1,1,2,3,3,1,40
85,51,1,1,13,3,3,1,30
86,52,1,8,13,3,2,2,60
87,57,1,1,11,3,2,1,30
88,20,1,1,6,3,1,2,30
89,48,1,1,14,3,2,1,30
90,66,1,2,17,3,3,1,30
91,48,1,1,3,3,1,4,30
92,67,1,1,2,3,2,1,70
93,68,1,1,2,3,2,3,30
94,69,1,1,17,3,2,1,30
95,70,2,1,9,2,2,1,30
96,12,2,1,7,3,2,1,30
97,71,2,1,9,3,1,1,30
98,72,1,1,9,2,1,1,20
99,73,1,5,9,3,2,1,30
100,23,1,1,4,3,3,1,30
101,64,2,1,17,2,1,1,20
102,74,2,1,2,3,2,1,60
103,64,1,2,9,3,1,2,30
104,6,2,1,9,3,2,1,30
105,75,1,2,4,3,1,1,30
106,76,1,2,9,3,3,1,30
107,77,1,1,13,3,5,1,30
108,78,2,1,5,3,1,1,30
109,79,2,1,18,3,2,1,40
110,13,1,2,6,3,2,1,30
111,47,1,1,9,3,2,2,40
112,76,1,1,9,3,2,1,30
113,22,2,2,8,1,2,5,60
114,10,2,1,13,3,1,3,30
115,25,1,1,2,3,1,1,40
116,1,2,5,13,3,2,1,40
117,3,1,1,2,3,2,3,30
118,23,1,2,9,3,3,1,60
119,32,1,7,2,3,2,1,30
120,44,1,7,2,3,5,1,30
121,1,1,5,2,3,1,2,60
122,80,1,3,7,3,5,1,50
123,81,2,1,2,2,2,1,60
124,82,1,2,2,2,1,1,30
125,17,2,1,2,3,5,1,60
126,76,1,4,7,3,1,1,30
127,83,1,1,9,3,2,1,50
128,36,2,1,2,3,1,2,50
129,84,2,1,2,3,2,1,30
130,2,2,1,9,3,1,3,60
131,19,2,6,2,2,2,1,30
132,50,2,1,14,3,1,1,30
133,85,2,1,18,3,2,1,60
134,86,2,2,9,3,2,1,30
135,84,1,1,9,3,2,1,30
136,70,2,2,2,3,4,2,50
137,87,1,2,9,3,1,2,60
138,72,2,1,16,3,1,1,30
139,35,2,1,9,3,1,1,60
140,88,1,1,13,3,2,1,60
141,89,2,1,7,3,1,1,60
142,5,1,6,3,3,1,1,30
